,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_clf__estimator__C,param_clf__estimator__kernel,param_clf__estimator__probability,param_clf__sample_weight,param_clf__estimator__max_depth,param_clf__estimator__min_samples_leaf,param_clf__estimator__min_samples_split,param_clf__estimator__l1_ratio,param_clf__estimator__penalty,param_clf__estimator__solver,param_clf__estimator__loss,param_clf__estimator__max_iter,param_clf__estimator__tol,param_clf__estimator__learning_rate,param_clf__estimator__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,dfkey,drop_first,param_clf__estimator__activation,param_clf__estimator__batch_size,param_clf__estimator__callbacks,param_clf__estimator__denseLayerUnits,param_clf__estimator__dropout_rate,param_clf__estimator__epochs,param_clf__estimator__l2Alpha,param_clf__estimator__lastLayerActivation,param_clf__estimator__lastLayerUnits,param_clf__estimator__metrics,param_clf__estimator__optimizer,param_clf__estimator__validation_split,param_clf__estimator__weighted_metrics
469,0.26439523696899414,0.08156132698059082,0.023865342140197754,0.002295851707458496,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8419133423245199,0.8500983094318783,0.8460058258781991,0.004092483553679194,9,0dropped1ordinaled2rbscaled,False,,,,,,,,,,,,,
473,0.21989119052886963,0.06559717655181885,0.0121002197265625,0.005243539810180664,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.25,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.25, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8418661968153716,0.8501359876120551,0.8460010922137133,0.004134895398341776,10,0dropped1ordinaled2rbscaled,False,,,,,,,,,,,,,
485,0.23122143745422363,0.010300874710083008,0.011859655380249023,0.006226778030395508,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,1.0,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 1.0, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.841795571154464,0.8501624487634944,0.8459790099589792,0.004183438804515216,11,0dropped1ordinaled2rbscaled,False,,,,,,,,,,,,,
481,0.258428692817688,0.021442532539367676,0.011696815490722656,0.005553722381591797,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.75,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.75, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8418847982063449,0.8500700076675619,0.8459774029369533,0.004092604730608518,12,0dropped1ordinaled2rbscaled,False,,,,,,,,,,,,,
81,0.36075282096862793,0.008128643035888672,0.03037118911743164,0.005856990814208984,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,1.0,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 1.0, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8540548379991167,0.8359245225749821,0.8449896802870493,0.00906515771206734,1,0dropped2rbscaled,True,,,,,,,,,,,,,
77,0.29288196563720703,0.021596193313598633,0.010577797889709473,0.005415558815002441,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.75,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.75, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8532877123547116,0.8359253219712952,0.8446065171630034,0.00868119519170818,2,0dropped2rbscaled,True,,,,,,,,,,,,,
73,0.24720251560211182,0.029648661613464355,0.014839529991149902,0.0096055269241333,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.5,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.5, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8529148889599109,0.8362581410439286,0.8445865150019197,0.008328373957991131,3,0dropped2rbscaled,True,,,,,,,,,,,,,
345,0.341386079788208,0.012787103652954102,0.019633889198303223,0.001995682716369629,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.75,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.75, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8525880103978227,0.8360853703589483,0.8443366903783855,0.008251320019437236,3,0dropped2rbscaled,False,,,,,,,,,,,,,
349,0.18504738807678223,0.00808095932006836,0.005908370018005371,0.00018775463104248047,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,1.0,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 1.0, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8528664971058617,0.8353491298017302,0.8441078134537959,0.00875868365206578,4,0dropped2rbscaled,False,,,,,,,,,,,,,
69,0.36607182025909424,0.009775042533874512,0.020074844360351562,0.0052623748779296875,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.25,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.25, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8516400332110408,0.8363663915298385,0.8440032123704396,0.007636820840601133,4,0dropped2rbscaled,True,,,,,,,,,,,,,
137,1.202688455581665,0.00834035873413086,0.19136130809783936,0.014701485633850098,"SVC(C=0.5, probability=True)",0.5,rbf,True,True,,,,,,,,,,,,"{'clf__estimator': SVC(C=0.5, probability=True), 'clf__estimator__C': 0.5, 'clf__estimator__kernel': 'rbf', 'clf__estimator__probability': True, 'clf__sample_weight': True}",0.8524089878513464,0.8353575779829884,0.8438832829171674,0.008525704934179035,11,0dropped1ordinaled2rbscaled,True,,,,,,,,,,,,,
341,0.24615073204040527,0.0014641284942626953,0.01268911361694336,0.007132530212402344,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.5,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.5, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8516051616643087,0.8359641861088631,0.843784673886586,0.007820487777722762,5,0dropped2rbscaled,False,,,,,,,,,,,,,
65,0.3145691156387329,0.03994739055633545,0.014099717140197754,0.0002473592758178711,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8508326474863227,0.8359499021866015,0.843391274836462,0.007441372649860611,5,0dropped2rbscaled,True,,,,,,,,,,,,,
337,0.2680259943008423,0.0030916929244995117,0.006558895111083984,0.00012183189392089844,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.25,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.25, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8509443155793832,0.83550390799704,0.8432241117882115,0.007720203791171609,6,0dropped2rbscaled,False,,,,,,,,,,,,,
333,0.28093767166137695,0.06438970565795898,0.0158998966217041,0.010207414627075195,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0,elasticnet,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0, 'clf__estimator__penalty': 'elasticnet', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.850003061644487,0.8357088820563978,0.8428559718504425,0.007147089794044603,7,0dropped2rbscaled,False,,,,,,,,,,,,,
141,0.6866503953933716,0.06651198863983154,0.1808621883392334,0.025223255157470703,"SVC(C=0.5, probability=True)",1.0,rbf,True,True,,,,,,,,,,,,"{'clf__estimator': SVC(C=0.5, probability=True), 'clf__estimator__C': 1.0, 'clf__estimator__kernel': 'rbf', 'clf__estimator__probability': True, 'clf__sample_weight': True}",0.8491363016780826,0.8315221129050794,0.840329207291581,0.008807094386501624,12,0dropped1ordinaled2rbscaled,True,,,,,,,,,,,,,
7,1.1846891641616821,0.015259146690368652,0.3050823211669922,0.017056703567504883,"SVC(C=0.5, probability=True)",1.0,rbf,True,True,,,,,,,,,,,,"{'clf__estimator': SVC(C=0.5, probability=True), 'clf__estimator__C': 1.0, 'clf__estimator__kernel': 'rbf', 'clf__estimator__probability': True, 'clf__sample_weight': True}",0.8481603914521142,0.8318812473245898,0.840020819388352,0.008139572063762202,6,0dropped2rbscaled,True,,,,,,,,,,,,,
3,1.3366098403930664,0.08716201782226562,0.3611903190612793,0.01875591278076172,"SVC(C=0.5, probability=True)",0.5,rbf,True,True,,,,,,,,,,,,"{'clf__estimator': SVC(C=0.5, probability=True), 'clf__estimator__C': 0.5, 'clf__estimator__kernel': 'rbf', 'clf__estimator__probability': True, 'clf__sample_weight': True}",0.8511410689251451,0.828007977126635,0.83957452302589,0.011566545899255043,7,0dropped2rbscaled,True,,,,,,,,,,,,,
83,0.22334182262420654,0.009940743446350098,0.01312863826751709,0.007530808448791504,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,1.0,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 1.0, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8445006968071342,0.8344099849138411,0.8394553408604877,0.005045355946646568,8,0dropped2rbscaled,True,,,,,,,,,,,,,
67,0.2679316997528076,0.034850358963012695,0.019072651863098145,0.010238051414489746,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8442995787968205,0.8344433565779481,0.8393714676873842,0.004928111109436195,9,0dropped2rbscaled,True,,,,,,,,,,,,,
75,0.2859516143798828,0.025600671768188477,0.024437785148620605,0.007506251335144043,"LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga')",,,,True,,,,0.5,none,saga,,,,,,"{'clf__estimator': LogisticRegression(l1_ratio=1.0, penalty='elasticnet', solver='saga'), 'clf__estimator__l1_ratio': 0.5, 'clf__estimator__penalty': 'none', 'clf__estimator__solver': 'saga', 'clf__sample_weight': True}",0.8444250911896265,0.834279125368863,0.8393521082792448,0.005072982910381774,10,0dropped2rbscaled,True,,,,,,,,,,,,,
